epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,128.355,0.53123,0.09672,0.08158,0.46295,0.92841,0.99486,1,0.995,0.91041,0.99486,1,0.995,0.995,0.46026,0.02761,0.03254,0.2805,0.87673,0.000990365,0.000990365,0.000990365
84,129.889,0.55102,0.0784,0.08218,0.45016,0.92713,0.99488,1,0.995,0.91818,0.99488,1,0.995,0.995,0.40194,0.0245,0.02949,0.27719,0.86451,0.000982113,0.000982113,0.000982113
85,131.403,0.59654,0.07213,0.0956,0.462,0.93852,0.9948,1,0.995,0.92091,0.9948,1,0.995,0.995,0.41831,0.01644,0.02621,0.27352,0.86273,0.000973861,0.000973861,0.000973861
86,132.908,0.61117,0.07394,0.08092,0.47396,0.93469,0.99488,1,0.995,0.91012,0.99488,1,0.995,0.995,0.42157,0.02503,0.02478,0.28307,0.86442,0.00096561,0.00096561,0.00096561
87,134.448,0.55935,0.07264,0.10499,0.48088,0.94224,0.99489,1,0.995,0.9228,0.99489,1,0.995,0.995,0.39352,0.04399,0.02483,0.29744,0.86128,0.000957358,0.000957358,0.000957358
88,135.946,0.61346,0.09557,0.07955,0.47617,0.95178,0.99487,1,0.995,0.90493,0.99487,1,0.995,0.995,0.4052,0.04805,0.02421,0.28978,0.86323,0.000949106,0.000949106,0.000949106
89,137.45,0.64653,0.08038,0.08219,0.48583,0.95761,0.99489,1,0.995,0.96184,0.99489,1,0.995,0.995,0.37169,0.04637,0.0188,0.27784,0.85768,0.000940855,0.000940855,0.000940855
90,138.978,0.55547,0.08785,0.08676,0.44759,0.91701,0.99491,1,0.995,0.94724,0.99491,1,0.995,0.995,0.38143,0.03695,0.01766,0.26845,0.86224,0.000932603,0.000932603,0.000932603
91,140.51,0.64126,0.08598,0.07774,0.49058,0.98109,0.99488,1,0.995,0.90433,0.99488,1,0.995,0.995,0.47351,0.03876,0.01801,0.28438,0.90605,0.000924352,0.000924352,0.000924352
92,142.049,0.57414,0.0648,0.06024,0.46732,0.93773,0.99483,1,0.995,0.91255,0.99483,1,0.995,0.995,0.44994,0.04054,0.0188,0.27991,0.8969,0.0009161,0.0009161,0.0009161
93,143.536,0.55568,0.10916,0.08779,0.4552,0.91669,0.99493,1,0.995,0.9208,0.99493,1,0.995,0.995,0.3997,0.04547,0.01845,0.2511,0.87091,0.000907848,0.000907848,0.000907848
