epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1115.92,0.57528,1.42861,1.64029,0.80281,0.94545,0.98595,0.97308,0.25066,0.57757,1.06642,0.000104586,0.000104586,0.000104586
79,1130.31,0.57602,1.3972,1.60594,0.79342,0.94545,0.98595,0.97361,0.25178,0.55866,1.05675,0.000103749,0.000103749,0.000103749
80,1144.31,0.57352,1.40819,1.59686,0.81851,0.94545,0.98595,0.97158,0.26459,0.53346,1.06407,0.000102913,0.000102913,0.000102913
81,1158.6,0.56588,1.39695,1.585,0.79423,0.92727,0.98595,0.97352,0.24304,0.52694,1.05096,0.000102076,0.000102076,0.000102076
82,1173.17,0.58423,1.40169,1.60736,0.82161,0.92727,0.995,0.98252,0.25407,0.53111,1.03023,0.000101239,0.000101239,0.000101239
83,1187.73,0.54468,1.32847,1.55663,0.84028,0.94545,0.98294,0.97293,0.24056,0.50755,1.04463,0.000100403,0.000100403,0.000100403
84,1202.16,0.57946,1.39688,1.62356,0.88676,0.85455,0.98294,0.97422,0.23319,0.52029,1.06532,9.95663e-05,9.95663e-05,9.95663e-05
85,1216.64,0.57516,1.39428,1.58948,0.83997,0.92727,0.995,0.98045,0.25209,0.51047,1.04515,9.87298e-05,9.87298e-05,9.87298e-05
86,1230.68,0.55898,1.3708,1.59855,0.8681,0.94545,0.995,0.98343,0.25362,0.50715,1.06316,9.78932e-05,9.78932e-05,9.78932e-05
87,1245.26,0.55944,1.29767,1.5834,0.87653,0.92727,0.995,0.98181,0.26734,0.49521,1.05184,9.70567e-05,9.70567e-05,9.70567e-05
88,1259.91,0.57425,1.31872,1.58483,0.78675,0.96364,0.995,0.98318,0.26217,0.49049,1.07296,9.62201e-05,9.62201e-05,9.62201e-05
89,1274.33,0.57276,1.3502,1.62802,0.86581,0.94545,0.995,0.98484,0.25602,0.47935,1.04865,9.53836e-05,9.53836e-05,9.53836e-05
90,1289.1,0.57764,1.31259,1.58393,0.86007,0.94545,0.995,0.9797,0.26873,0.48606,1.04989,9.4547e-05,9.4547e-05,9.4547e-05
91,1303.49,0.57448,1.3442,1.63748,0.8643,0.90909,0.995,0.98411,0.25336,0.47812,1.08043,9.37105e-05,9.37105e-05,9.37105e-05
92,1318.11,0.55984,1.29877,1.55957,0.81056,0.96364,0.995,0.98315,0.25689,0.47975,1.0263,9.28739e-05,9.28739e-05,9.28739e-05
93,1332.49,0.54417,1.23624,1.57411,0.82951,0.94545,0.995,0.98102,0.24289,0.45669,1.04107,9.20374e-05,9.20374e-05,9.20374e-05
94,1346.89,0.55341,1.25345,1.55451,0.82054,0.98182,0.995,0.98733,0.25466,0.45005,1.09198,9.12008e-05,9.12008e-05,9.12008e-05
95,1361.48,0.56559,1.28356,1.59592,0.82432,0.98182,0.995,0.98172,0.23451,0.4577,1.06636,9.03643e-05,9.03643e-05,9.03643e-05
96,1375.79,0.56611,1.30172,1.54724,0.85279,0.96364,0.995,0.98276,0.25262,0.44438,1.09026,8.95277e-05,8.95277e-05,8.95277e-05
97,1390.28,0.55229,1.29994,1.62675,0.86016,0.98182,0.995,0.98494,0.24477,0.43592,1.06243,8.86912e-05,8.86912e-05,8.86912e-05
98,1404.64,0.5833,1.32662,1.63366,0.83068,0.98182,0.995,0.98648,0.25532,0.43037,1.08169,8.78546e-05,8.78546e-05,8.78546e-05
99,1418.97,0.53845,1.24468,1.55219,0.88516,0.92727,0.995,0.98699,0.23674,0.43744,1.05235,8.70181e-05,8.70181e-05,8.70181e-05
100,1433.49,0.54872,1.22004,1.57432,0.88497,0.94545,0.995,0.98106,0.24472,0.43394,1.05266,8.61815e-05,8.61815e-05,8.61815e-05
101,1447.95,0.56208,1.24604,1.56252,0.89705,0.94545,0.995,0.983,0.24235,0.43171,1.07603,8.5345e-05,8.5345e-05,8.5345e-05
